WKT,id,id2,sportpark,sportparkFunctioneleNaam,objecttype,objectsubtype,veldindeling,sportfunctie,jaarVanActiviteit,soortOndergrond,oppervlakte,omtrek
"MULTIPOLYGON (((4.86751485321535 52.3474395067452,4.86758108782468 52.3472556111296,4.86743307383767 52.3472361239566,4.86736898991584 52.3474187207957,4.86751485321535 52.3474395067452)))","14373181",{86F954E8-F0D8-4188-8615-C991B118F6F6},Sportpark Olympiaplein,Sportpark Olympiaplein,Sportveld (verhard),Kunststofverharding,SPZ-OLYM-13,Padel,0,Kunstgras — zand,214.08921,62.25437
"MULTIPOLYGON (((4.85151864423508 52.34194863446,4.85151045453753 52.34194753683,4.85153483296166 52.3419423084307,4.85155792043652 52.34193704722,4.85156041602749 52.3419364208589,4.85156289899746 52.3419357759561,4.85156536897927 52.341935112607,4.85156773288318 52.3419344570416,4.85157008410157 52.3419337845801,4.85157242231253 52.3419330953148,4.8516212345286 52.3419177323636,4.85166754293556 52.3418996945173,4.85171095788059 52.3418791335531,4.85175111405898 52.3418562224782,4.85178784318407 52.341831026397,4.85182062831143 52.341803865917,4.85184919087858 52.3417749718165,4.85187328820292 52.3417445896034,4.85190141938208 52.3417029918674,4.85192344698392 52.3416600358433,4.85193919912678 52.3416160567523,4.85194854945376 52.3415714230611,4.85195143574332 52.3415264581916,4.8519478355165 52.3414815126441,4.85194070948488 52.341448065471,4.85192842346114 52.3414151848311,4.85191108878174 52.3413831686599,4.85188886252871 52.3413523070593,4.85186191156879 52.3413228458027,4.85183050413223 52.3412950897319,4.85179492548475 52.3412692909411,4.85175549877536 52.3412456837472,4.85171738528244 52.3412267926923,4.85167678905114 52.3412099534109,4.85163400368301 52.3411952876875,4.85158937824778 52.3411829113583,4.85154319855808 52.341172900036,4.85149579801208 52.3411653259979,4.85148149925604 52.3411634097854,4.85034816565561 52.3410139479542,4.85029380107334 52.3410085209615,4.85024647714548 52.3410036748062,4.85018899172172 52.3409939922204,4.85011971978686 52.3409846570407,4.84996551075808 52.3409623071183,4.84994245518116 52.3410284210183,4.84993967846667 52.3410415116328,4.84993113422125 52.3410572819494,4.84988449032529 52.3410775264905,4.84984094854984 52.341100215635,4.84980084934577 52.34112517198,4.84976450624858 52.3411522003958,4.84973368286029 52.3411796391787,4.84970673313567 52.341208567425,4.84968384773687 52.3412387804834,4.84966518857423 52.3412700646127,4.8496433985583 52.3413136157745,4.84962811037052 52.3413581931582,4.8496194486462 52.3414034334092,4.84961746768494 52.3414484182437,4.84962203911029 52.3414933322469,4.84963312657245 52.3415378180898,4.84964618386233 52.3415677152612,4.84966350158256 52.341596789191,4.84968494437001 52.3416248126103,4.84971202570916 52.3416531600736,4.84974332566622 52.3416798281424,4.84977856869174 52.3417045820378,4.84977745901816 52.3417077586766,4.84977464760596 52.3417157450436,4.84977309782364 52.3417201240478,4.84977450429745 52.3417203101908,4.84976470657788 52.3417478042888,4.84976343205544 52.3417476277328,4.84976185150963 52.3417521234384,4.84975790052451 52.3417633312467,4.85057030664961 52.3418705482633,4.8515101186793 52.3419948290591,4.85168666487376 52.3420179986814,4.85170349712838 52.3419729201926,4.85154995241168 52.3419528476407,4.85151864423508 52.34194863446),(4.84988671271209 52.3417019765366,4.85010461570399 52.341062284303,4.8501068602167 52.3410619319795,4.85010910738276 52.3410615860593,4.85013685692917 52.3410594321955,4.85013477874704 52.341065511816,4.8516564945321 52.3412696631346,4.8516612165734 52.3412580576737,4.85169346732451 52.3412764379093,4.85172590692444 52.3412947945909,4.85175557487912 52.3413148332074,4.85178223964569 52.3413363973704,4.85180569311831 52.3413593187855,4.85182676699234 52.3413847925385,4.85184387463702 52.3414113579902,4.85185686724541 52.3414387840785,4.85186563180187 52.3414668322548,4.85187147866658 52.3415043673113,4.85187227416636 52.3415420696678,4.85186801291663 52.3415796847327,4.85185808679386 52.3416189359296,4.85184265564597 52.3416575142842,4.85182183508859 52.3416951307184,4.85180538667399 52.3417211587668,4.85178550706115 52.3417462724801,4.85176233029507 52.3417703025135,4.85173601265462 52.3417930868294,4.85170852965383 52.3418132572181,4.85167858511561 52.3418320671919,4.85164635794937 52.3418494043651,4.85161204070343 52.3418651651514,4.85158987125129 52.3418736714257,4.85156699109172 52.3418814396898,4.85154346565209 52.3418884477297,4.85152059105615 52.3418943802765,4.85149725427218 52.3418995939924,4.85147351547117 52.3419040754341,4.85143636243729 52.3419101281699,4.85139854389255 52.3419143611892,4.8513602970339 52.3419167479425,4.85131887472275 52.3419172361962,4.85127753529471 52.3419155593989,4.85123657985755 52.3419117297641,4.8506640857911 52.3418356874031,4.85007191335164 52.3417573958814,4.85004488707716 52.3417527985197,4.85001833968757 52.3417472523377,4.84999235989677 52.3417407758691,4.84996819023808 52.3417337520389,4.84994468934396 52.3417259230064,4.84992192865247 52.3417173125702,4.84991471466935 52.3417143960193,4.84990758425078 52.3417114033712,4.84990053953633 52.341708335524,4.84989358115195 52.3417051927139,4.84988671271209 52.3417019765366)))","14421594",{FE71C84B-11B5-4255-8714-A7DD6D5C0813},Sportpark De Schinkel,Sportpark De Schinkel,Sportveld (verhard),Kunststofverharding,SPZ-SCH-03,Atletiek,2019,Kunstrubber — cpdm (tartan),3814.2736,857.00741
"MULTIPOLYGON (((4.89075608483165 52.3207188144106,4.89067343447755 52.3207135961718,4.8906720579349 52.3207252116238,4.89067296666357 52.3207331426799,4.89067182428499 52.3207487407114,4.89066974836391 52.3207560031314,4.89063567808574 52.3207676521321,4.89061426888375 52.3207698271967,4.89056583869054 52.3207762838662,4.890545630537 52.3207772955457,4.89051471788515 52.3207767613188,4.89048302107145 52.320776834962,4.89045537073506 52.3207757481849,4.89043778620318 52.3207742992162,4.89036315415185 52.3207747407936,4.89034245203655 52.3207779523758,4.89033527544037 52.320779647894,4.8903283443559 52.3207816859794,4.89031416386249 52.3207827498979,4.89030792341327 52.3207846740414,4.89029877175043 52.3207859208596,4.89028049104274 52.3207863923334,4.89025210395761 52.3207856079995,4.89019433108146 52.3207815365065,4.89011144135938 52.320787219075,4.89009688898109 52.3207874365514,4.89007842962286 52.3207907653648,4.89006332607878 52.3207956721545,4.89003610163964 52.3207971575807,4.89002673571939 52.3207965789535,4.88999933986364 52.320793722542,4.88999289855129 52.3207913137035,4.88998524783935 52.3207895019646,4.88997811758096 52.3207883664979,4.88996636881518 52.3207831491325,4.88994139642584 52.3207708207606,4.88994175127841 52.3207744982637,4.88991789213715 52.3207754046124,4.88991758901119 52.3207723474851,4.88990542229488 52.320776952026,4.88989536439038 52.3207792286011,4.88988151322528 52.3207836283272,4.88984218236145 52.3207882624753,4.8898322080718 52.3207883104214,4.88981740349301 52.3207914029003,4.88981161660351 52.3207921155709,4.88978814504632 52.3207911540599,4.8897671192146 52.3207892141691,4.88974091904987 52.3207843674327,4.88971789074433 52.3207818079425,4.88966542384846 52.3207806795386,4.88963638894248 52.3207840446978,4.88960645496462 52.3207995845422,4.88958981574846 52.3211170446574,4.88958742598763 52.3211627825226,4.88958939224008 52.3211666375725,4.8895983622287 52.3211842374673,4.88961231763451 52.3212006629518,4.88965324849074 52.3212038100576,4.88970867779944 52.3211984707166,4.88971274532482 52.3211928165173,4.88972326384755 52.3211847807128,4.88972956335561 52.3211775899961,4.88973973421771 52.3211730939226,4.88974356037325 52.3211706563406,4.88975005136905 52.3211673221953,4.88976413720749 52.3211642446783,4.88977969809144 52.3211643550435,4.88978539831224 52.3211648373877,4.88981501575146 52.3211749653325,4.88982253900132 52.3211789965334,4.88982846056095 52.3211832906344,4.88984661890498 52.3211924536402,4.88986649070997 52.3211926809823,4.88991856839898 52.3211893137581,4.8899493964693 52.3211882569435,4.88996715676747 52.321188430455,4.88997288642748 52.321188903926,4.89004238173613 52.3211861850687,4.89005865248243 52.3211844648685,4.89006984780531 52.321177546365,4.89008346480958 52.3211731096817,4.89011790045435 52.3211655518249,4.89012704480543 52.3211610334296,4.89014403465573 52.3211553436303,4.89015349804965 52.3211511501343,4.89015803414498 52.321145560803,4.89017233634331 52.3211414954881,4.89019443970656 52.3211389099803,4.89020020583501 52.3211387454596,4.89022385084557 52.3211425747259,4.89022590591917 52.3211502948932,4.89025117842889 52.3211554881488,4.89027079678505 52.3211652594046,4.89028427286628 52.3211799751134,4.8902878180808 52.321181670723,4.89030376460925 52.3211840206019,4.89033561591068 52.3211845857886,4.89035922603843 52.3211823571023,4.89037194522104 52.3211795074565,4.89038521864536 52.3211730021012,4.89039589875505 52.3211688676221,4.8904119167443 52.3211648274589,4.89042045650698 52.3211619063311,4.89042533862788 52.3211594731613,4.89043552809591 52.3211559298133,4.89045281171799 52.3211554451409,4.89047257009005 52.3211566335998,4.89050778956405 52.3211668567937,4.89051585494539 52.3211696319341,4.89052584969559 52.321175632807,4.89053703476765 52.3211801197374,4.89055346189159 52.3211840894045,4.89057638748813 52.3211853630443,4.89059832318324 52.321185967427,4.89061176222307 52.3211869495808,4.89062585332967 52.3211886445063,4.8906430291714 52.3211912421698,4.89065460594127 52.3211948049896,4.89066080645284 52.321201706682,4.89066163331684 52.3212117135761,4.89072213329623 52.3212119944427,4.89073871074139 52.3209610257022,4.89075608483165 52.3207188144106)))","14491708",{DD77D443-E7EC-4E96-9FFD-FD632158595E},Sportpark 't Loopveld,Sportpark 't Loopveld 02,Sportveld (begroeid),Gras- en kruidachtigen,SPZ-LOO-GOLF-21F,Golf,2011,Gras,3476.78866,272.448
"MULTIPOLYGON (((4.84750924770501 52.3202231185466,4.84691554038471 52.3198477461391,4.84587574508749 52.3204633419567,4.84646947556436 52.320839178026,4.84750924770501 52.3202231185466)))","14495560",{A270162D-2BAD-4535-B8CD-B7DDF3E1B937},Sportpark Amsterdamse Bos,Sportpark Amsterdamse Bos 01,Sportveld (verhard),Kunststofverharding,SPZ-AMSTER-21,Hockey,2016,Kunstgras — water,5736.4779,313.55427
"MULTIPOLYGON (((4.81065460168137 52.3400010963124,4.81090573431298 52.3396884375664,4.81019450512585 52.3392676434305,4.80985535231912 52.3395137447131,4.81065460168137 52.3400010963124)))","14583454",{F0BEA0C7-EEAF-4298-A59C-76AD34C81B53},Sportpark Sloten,Sportpark Sloten 02,Sportveld (begroeid),Gras- en kruidachtigen,SPW-SLO-01,Voetbal,2007,Gras,2616.22551,218.85481
"MULTIPOLYGON (((4.95349267024207 52.3586860265703,4.95347949227848 52.3585203529417,4.95294001399962 52.3585382830017,4.95295468345359 52.358704348637,4.95349267024207 52.3586860265703)))","14625136",{11DE791E-1C57-4B36-8363-D04805ACF557},Sportpark Valentijnkade (Tie Breakers),Sportpark Valentijnkade (Tie Breakers),Sportveld (verhard),Halfverharding,SPO-VALE-08,Tennis,2017,Gravel,679.22526,110.4701
"MULTIPOLYGON (((4.80494027351156 52.3705035718989,4.80497542933939 52.3705092611939,4.80501420134374 52.3704267057776,4.80497497560652 52.3704189905138,4.80494027351156 52.3705035718989)))","14644557",{6B1C7BB4-258F-4A6B-9DE4-3ACF116AE774},Sportpark Ookmeer,Sportpark Ookmeer 05,Sportveld (verhard),Onverhard,SPW-OOK-49,Atletiek,0,Zand,25.4171,24.54337
"MULTIPOLYGON (((4.88260204879566 52.3203556614318,4.88234294672673 52.320350330945,4.88232684936666 52.3206855156997,4.88238918827407 52.3206865366914,4.88243685879977 52.3206876568478,4.88258310772445 52.3206903351408,4.88260204879566 52.3203556614318)))","14691070",{CAAA4655-C859-47FC-8AC8-6900B53466FD},Sportpark 't Loopveld,Sportpark 't Loopveld 01,Sportveld (verhard),Kunststofverharding,SPZ-LOO-26,Tennis,2017,Kunstgras — keramisch zand (smashcourt),655.38206,109.72611
"MULTIPOLYGON (((4.86687817102994 52.3473427876122,4.86716563431815 52.3473811894515,4.86726031687131 52.3471206678349,4.86697555349121 52.3470820117163,4.86687817102994 52.3473427876122)))","14700650",{10685CBE-F513-44D7-AC84-7895A288059E},Sportpark Olympiaplein,Sportpark Olympiaplein,Sportveld (verhard),Kunststofverharding,SPZ-OLYM-10,Voetbal,2015,Kunstgras — rubber,593.45127,99.38376
"MULTIPOLYGON (((4.85933263717186 52.3286799048056,4.85909932110977 52.3286793959975,4.85909872786403 52.3290061870916,4.85933172236536 52.3290066951985,4.85933263717186 52.3286799048056)))","14707678",{C680B1BA-F95F-4E1C-BFDF-E228F3E95D2E},Sportpark Buitenveldert West,Sportpark Buitenveldert West,Sportveld (verhard),Halfverharding,SPZ-BUWE-11,Tennis,0,Gravel,577.90582,104.50846
"MULTIPOLYGON (((4.86747317229011 52.3476201355997,4.86753771618615 52.3474443907011,4.86710602462231 52.3473835632688,4.86704143426629 52.3475631344373,4.86747317229011 52.3476201355997)))","14750504",{6316DD49-A727-4249-858D-4FF14A8DD3E3},Sportpark Olympiaplein,Sportpark Olympiaplein,Sportveld (verhard),Kunststofverharding,SPZ-OLYM-11,Voetbal,0,Kunstgras — rubber,610.32733,100.77996
"MULTIPOLYGON (((4.93341491519147 52.341874173876,4.93271028111332 52.3414491899648,4.93160782790743 52.3421360726113,4.93231233538573 52.3425605592298,4.93341491519147 52.341874173876)))","14832827",{8D599D8C-77FB-4078-8680-90173FAC0C67},Sportpark Drieburg,Sportpark Drieburg 03,Sportveld (verhard),Kunststofverharding,SPO-DRIE-07,Voetbal,2018,Kunstgras — kurk,7218.96126,349.04745
"MULTIPOLYGON (((4.85108620903456 52.3207597507224,4.85107422139264 52.3207595884807,4.85102730832226 52.3207589534441,4.8508071293179 52.3207559690406,4.85079479648678 52.3210983133901,4.85107794448743 52.3211021456427,4.85108620903456 52.3207597507224)))","14935990",{15F90469-FAAA-47B0-82E8-DAC36ED70D2C},Sportpark Amsterdamse Bos,Sportpark Amsterdamse Bos 01,Sportveld (verhard),Halfverharding,SPZ-AMSTER-32,Tennis,2007,Gravel,730.41668,114.54299
"MULTIPOLYGON (((4.82490575934743 52.3860816471968,4.82491807054523 52.3854618400246,4.8248813602199 52.3854620881402,4.82338160234219 52.3854522699404,4.82335028034553 52.3854515545848,4.82333530601682 52.3860076170046,4.82333318676431 52.3860864742324,4.82344648650906 52.3860873282113,4.82400760947116 52.3860915709138,4.82403197606493 52.3860917586928,4.82406421352364 52.386092136686,4.82416698377943 52.3860927961013,4.82419911808134 52.3860932005305,4.82486054138005 52.3860982844782,4.82490631796194 52.3860992590401,4.82490575934743 52.3860816471968)))","14944546",{7D314058-ED6D-472F-BA0F-32F9E6E97B90},Sportpark Spieringhorn,Sportpark Spieringhorn,Sportveld (verhard),Kunststofverharding,SPW-SPIERING-11,Voetbal,2011,Kunstgras — rubber,7557.52969,355.43785
"MULTIPOLYGON (((4.97983245161898 52.3551064308574,4.98031644894903 52.3559420454204,4.98112214784732 52.3557679520847,4.98063785694111 52.3549324926024,4.97983245161898 52.3551064308574)))","14947591",{F06764A0-8BD7-45CF-81C9-7C55924A0E2F},Sportpark IJburg,Sportpark IJburg,Sportveld (verhard),Kunststofverharding,SPO-IJBU-04,Hockey,2012,Kunstgras — semi-water,5740.59637,313.67815
"MULTIPOLYGON (((4.88859880971126 52.318319942271,4.8886054120652 52.3183351899753,4.88863122833082 52.3183484432172,4.88866837978935 52.3183575933452,4.88871805739301 52.3183571108661,4.88876099288051 52.3183538327095,4.88879840823287 52.3183394622795,4.88881669503712 52.3183194767536,4.88882145104251 52.3182980505983,4.88881599715406 52.3181804194748,4.8887970471896 52.3181588934488,4.88876784442038 52.3181456259743,4.88873625977474 52.318143417459,4.8886921335361 52.3181522250897,4.88864909732034 52.3181644963608,4.88862866924253 52.3181740956476,4.88861158890506 52.3181871681033,4.8886024416044 52.318197506741,4.88859897275017 52.3183054148929,4.88859880971126 52.318319942271)))","14959060",{0D9BE427-5381-4B82-8BF7-F3BD5D148658},Sportpark 't Loopveld,Sportpark 't Loopveld 01,Sportveld (begroeid),Gras- en kruidachtigen,SPZ-LOO-GOLF-06,Golf,2011,Gras,314.72816,66.49961
"MULTIPOLYGON (((4.85137409801437 52.3199153991854,4.85222413304683 52.3199257713557,4.85225264114103 52.3190686771062,4.85140239305262 52.3190578727063,4.85137409801437 52.3199153991854)))","14987450",{5E77C361-D5A5-430A-8204-55BE75C9E647},Sportpark Amsterdamse Bos,Sportpark Amsterdamse Bos 02,Sportveld (verhard),Kunststofverharding,SPZ-AMSTER-03,Hockey,0,Kunstgras — zand,5531.4528,306.76962
"MULTIPOLYGON (((4.85933172236536 52.3290066951985,4.85956434820936 52.3290072020435,4.85956499565659 52.3288946685917,4.85956555135192 52.3287985015264,4.85956623543771 52.328680413768,4.85933263717186 52.3286799048056,4.85933172236536 52.3290066951985)))","15052942",{A8C76CE1-611D-417C-9188-C6355270331C},Sportpark Buitenveldert West,Sportpark Buitenveldert West,Sportveld (verhard),Halfverharding,SPZ-BUWE-12,Tennis,0,Gravel,577.795,104.50245
"MULTIPOLYGON (((4.83640103161293 52.3410592531899,4.83616908301043 52.3412649626511,4.83633354065448 52.3413162879894,4.83655318273655 52.3411156156946,4.83640103161293 52.3410592531899)))","15121589",{47ADC555-4D7A-4E4C-8826-0243E3A39E60},Sportpark Riekerhaven,Sportpark Riekerhaven,Sportveld (verhard),Onverhard,SPW-RIEK-03,Beachhandbal,1985,Zand,336.09098,79.39379
"MULTIPOLYGON (((4.85615138633553 52.3752930244518,4.85605379216458 52.3755989783017,4.85697650533301 52.3757097621072,4.85707394555583 52.3754043951311,4.85615138633553 52.3752930244518)))","15128306",{59E35886-4AF6-4C83-AE06-9B9D4D1BC56C},Sportpark Joos Banckersweg,Sportpark Joos Banckersweg,Sportveld (verhard),Kunststofverharding,SPW-JOOS-01,Korfbal,2015,Kunstgras — zand,2218.83776,197.36853
"MULTIPOLYGON (((4.79409318360563 52.3679338848262,4.79409683040836 52.3679465156876,4.79411044104283 52.3679559265336,4.79412564030469 52.3679606740062,4.7941447549156 52.3679579669619,4.79415478743352 52.3679496088239,4.79415724529622 52.3679370085444,4.79415663208326 52.3679257942802,4.79415755128502 52.3679141205591,4.79414716160108 52.3678921132617,4.79410210722477 52.3678372329947,4.79408106564908 52.3678128366619,4.79405313761489 52.3677898072223,4.79403643723768 52.3677831836868,4.79401663456646 52.3677802816694,4.79399903994335 52.3677834634419,4.79398519202005 52.3677918024491,4.79397740502894 52.3678034417563,4.79397950063567 52.3678179333812,4.79399299252455 52.3678362191739,4.79401188222712 52.3678503278136,4.79403614475948 52.3678621277046,4.79406040730474 52.3678739275907,4.79407929704481 52.3678880362196,4.79408899855393 52.3679044344792,4.79409109420178 52.3679189261018,4.79409318360563 52.3679338848262)))","15211304",{1F3736DB-0F69-4985-9887-57C54D2A3FC8},Sportpark Ookmeer,Sportpark Ookmeer 02,Sportveld (begroeid),Gras- en kruidachtigen,SPW-OOK-GOLF-03,Golf,0,Gras,103.62535,50.15809
"MULTIPOLYGON (((4.85084604556304 52.3306289913289,4.85064766339194 52.3306237094021,4.85059533653497 52.3306222407757,4.85059307793366 52.3306221855936,4.85057221032061 52.3309553499649,4.85082440927886 52.3309612744314,4.85084604556304 52.3306289913289)))","15226690",{0531061A-74DD-4386-9B7C-F3087AF7D18E},Sportpark Amstel (Tennispark),Sportpark Amstel (Tennispark),Sportveld (verhard),Halfverharding,SPZ-AMSTEL-16,Tennis,0,Gravel,638.37101,108.56168
"MULTIPOLYGON (((4.85834737881838 52.3293256908481,4.85834567267725 52.3294741233714,4.85887860012918 52.3294777760414,4.8588786751546 52.3294680750173,4.85887950513182 52.3293576095847,4.85887972791864 52.329328069071,4.85834737881838 52.3293256908481)))","15231034",{029F23C9-17E7-4E1D-91E4-EA165E426E90},Sportpark Buitenveldert West,Sportpark Buitenveldert West,Sportveld (verhard),Halfverharding,SPZ-BUWE-05,Tennis,0,Gravel,602.25481,105.79338
"MULTIPOLYGON (((4.96643642734025 52.310291881988,4.96651288868333 52.310209658505,4.96642521603341 52.3101797586601,4.96634958224413 52.3102609820474,4.96643642734025 52.310291881988)))","15304531",{270C64B1-70D2-49A8-B661-34A537EBFF53},Sportpark Bijlmer,Sportpark Bijlmer 02,Sportveld (verhard),Onverhard,SPO-BIJL-11,Atletiek,0,Zand,71.65139,34.62612
"MULTIPOLYGON (((4.96688880727698 52.3734515156199,4.96764498709496 52.3730511163854,4.96719718852637 52.3727351608999,4.96644283948529 52.3731357252506,4.96688880727698 52.3734515156199)))","15342507",{31FCED5C-52A3-4F70-AE5D-0C4D854A5689},Sportpark Zeeburgereiland,Sportpark Zeeburgereiland,Sportveld (verhard),,SPO-ZEEBURG-02,Voetbal,2005,,3163.74994,229.08403
"MULTIPOLYGON (((4.86816529801915 52.3591931641611,4.86835048970818 52.3592507422393,4.86839271529852 52.3592638165779,4.86864776442281 52.3589539997754,4.86857056258419 52.3589300620654,4.86841728227964 52.3588828316204,4.86816529801915 52.3591931641611)))","15354514",{C067476F-459B-48C2-9780-01F558A6ADAB},Sportpark Vondelpark (Tennis Festina),Sportpark Vondelpark (Tennis Festina),Sportveld (verhard),Halfverharding,SPZ-VOND-07,Tennis,0,Gravel,674.4702,112.12075
"MULTIPOLYGON (((5.04976970385768 52.3059277927432,5.05118097999198 52.3061067523093,5.05135693616703 52.3055960506137,5.04994208696746 52.3054175224668,5.04976970385768 52.3059277927432)))","15373611",{DEDB1865-D4D7-4CBE-BEAA-F9AAD5781CB8},Sportpark Vechtoever,Sportpark Vechtoever 01,Sportveld (verhard),Kunststofverharding,SPO-W-VECHT-02,Hockey,2017,Kunstgras — water,5710.24458,312.86764
"MULTIPOLYGON (((4.90990265631702 52.3684436033244,4.90944431490516 52.3681263189642,4.90904195367935 52.3683563775276,4.90949209706116 52.3686656466161,4.90990265631702 52.3684436033244)))","15379687",{9409CB93-D1CC-4807-97FB-85375E0D4864},Sportpark Parkschouwburg,Sportpark Parkschouwburg,Sportveld (verhard),Kunststofverharding,SPZ-PARK-01,Tennis,2014,Kunstgras — zand,1743.06577,168.02444
"MULTIPOLYGON (((4.96698509397659 52.3727550859046,4.96716196285087 52.3726611612489,4.96702232878076 52.3725626620441,4.96684546619383 52.3726565886264,4.96698509397659 52.3727550859046)))","15397070",{1FBB463F-2ABD-40DF-9FBF-893DD01B5E07},Sportpark Zeeburgereiland,Sportpark Zeeburgereiland,Sportveld (verhard),,SPO-ZEEBURG-07,Balspel,2005,,231.37838,60.91233
